GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
180115A,805318,12.04,-15.632,40.9,7.6,1.66,-,2.487,-
180113A,804999,19.211,68.682,64.0,48.0,1.08,"Due to an observing constraint, Swift will not be able to observe this location until at least T0+36 hours.",-,-
180111A,804692,149.782,48.254,50.6,102.0,1.3,-,-,-
180103A,803066,159.585,-53.555,-,-,-,"Due to the lack of onboard image detection, Swift did not slew to the GRB and so there were no immediate XRT or UVOT follow-up observations. Swift has initiated a ToO observation.|UVOT: no detection",-,-
180102A,802999,203.078,62.161,10.8,3.5,2.01,UVOT: no detection,-,-
171222A,799669,148.273,35.624,174.8,19.0,2.07,UVOT: no detection,2.409,-
171216A,797441,212.013,-50.5,30.0,4.8,1.63,UVOT: no detection,-,-
171212A,796778,293.92,20.597,320.0,34.0,2.23,"Because this event is very close to the Galactic plane (lat=0.03 degrees) it is possibly a Galactic transient, in which case it takes the name 'Swift J1935.7+2036'.|UVOT: no detection",-,-
171211A,796469,98.154,-58.689,2.32,2.4,1.77,UVOT: no detection,-,-
171209A,796100,139.387,-30.523,161.7,75.0,1.58,-,-,-
171205A,794972,167.423,-12.599,189.4,36.0,1.41,-,0.0368,Likely host: 2MASX J11093966-1235116 (z = 0.037)
171124A,Fermi,-,-,-,-,-,Fermi: GCN 22156,-,-
171123A,791922,186.198,32.503,58.5,4.8,1.35,UVOT: no detection,-,-
171120A,791201,163.774,22.461,64.0,86.0,-,UVOT: no detection,-,-
171115A,790053,278.392,9.118,38.2,6.9,1.76,-,-,-
171103A,785850,249.51,-10.206,3.9,3.8,1.31,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 11:32 UT on 2018 January 15.",-,-
171102B,785510,288.096,22.434,17.8,9.3,1.16,UVOT: no detection,-,-
171027A,783479,61.683,-2.601,96.6,75.0,-,-,-,-
171020A,780845,39.26,15.199,41.9,12.0,1.04,-,1.87,-
171011A,778154,236.766,-10.064,2.27,11.0,1.68,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 11:46 UT on 2018 January 03.",-,-
171010B,778019|Ground Analysis,34.123,-54.41,30.4,3.9,1.41,-,-,-
171010A,Fermi,66.74,-10.53,-,-,-,Fermi: GCN 21985,-,-
171007A,777215,135.635,42.93,105.0,2.9,1.38,UVOT: no detection,-,-
171004A,776347,139.15,52.684,107.1,30.0,1.67,UVOT: no detection,-,-
171001A,775553,22.08,-11.928,22.8,6.4,1.48,-,-,-
170921A,773509,26.84,30.88,28.9,6.7,1.76,-,-,-
170912B,772052,215.464,-61.997,19.6,24.0,1.88,UVOT: no detection,-,-
170912A,772006,167.386,-54.343,21.9,11.0,2.04,UVOT: no detection,-,-
170906C,770981,128.659,70.805,48.4,88.0,-,"Due to an observing constraint, Swift did not slew until T0+18.9 minutes.|UVOT: no detection",-,-
170906B,770958,232.221,-28.251,-,-,-,UVOT: no detection,-,-
170906A,770957,203.949,-47.088,88.1,320.0,-,-,-,-
170903A,770528,254.532,34.985,29.2,24.0,1.94,"Due to an observing constraint, Swift did not slew until T0+49.5 minutes.|UVOT: no detection",0.886,i-band (AB) = 23.17 (GTC)
170827A,769567,276.189,-40.202,94.0,14.0,1.29,UVOT: no detection,-,-
170823A,769177,188.713,35.549,69.4,26.0,2.06,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 18:03 UT on 2017 October 17.",-,-
170822A,768939,94.375,55.0,64.0,64.0,1.8,UVOT: no detection,-,-
170813A,767563,201.057,-5.527,75.5,19.0,1.17,UVOT: no detection,-,-
170810A,767284,187.928,3.664,152.4,48.0,1.24,-,-,-
170807A,766821,143.434,-17.348,48.5,8.6,1.82,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 06:56 UT on 2017 October 03.",-,-
170804A,766194,6.404,-64.781,43.4,13.0,1.67,-,-,-
170803A,766081,174.947,-16.312,3.82,9.8,-,-,-,-
170728B,765130,238.019,70.111,47.7,6.2,-,-,-,-
170728A,765008,58.901,12.169,1.25,0.71,-,-,-,-
170724A,764204,150.057,-1.025,98.0,11.0,1.46,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 09:13 UT on 2017 October 11.",-,-
170714A,762535,34.322,1.962,-,28.0,1.76,-,0.793,-
170711A,761622,45.782,47.845,31.3,14.0,1.75,-,-,-
170710B,Ground Analysis,43.122,42.679,54.4,24.0,1.38,XRT: no detection|UVOT: no detection,-,-
170710A,761119,231.851,-38.523,32.6,7.4,1.91,-,-,-
170705A,760064,191.708,18.298,217.3,95.0,1.65,-,2.01,-
170629A,759159,129.963,-46.585,34.4,26.0,1.66,-,-,-
170626A,758766,165.409,56.479,12.94,82.0,-,"The XRT position is 5.4 arcmin away from a magnitude 2 star (Merak), therefore there are no UVOT data for this burst.",-,-
170607A,756284,7.358,9.225,-,75.0,1.61,-,0.557,-
170604A,755867,342.645,-15.406,26.7,51.0,1.31,-,1.329,-
170531B,755354,286.901,-16.414,164.13,20.0,1.95,-,2.366,-
170531A,755343,121.218,-14.017,26.74,7.5,1.22,UVOT: no detection,-,-
170526A,754549,4.723,1.277,7.9,1.6,1.25,UVOT: no detection,-,-
170524A,754322,319.488,48.603,0.1,0.37,1.07,"XRT: There is evidence that the source may be fading, however we cannot constrain the decay at the current time.|UVOT: no detection",-,-
170524B,754265,90.864,-17.086,46.4,66.0,1.15,On-board analysis was truncated by a pre-planned slew to a scheduled target.,-,-
170522A,Fermi,135.45,27.12,-,-,-,Fermi: GCN 21126,-,-
170519A,753445,163.429,25.374,216.4,11.0,1.94,-,0.818,-
170516A,753110,41.543,-55.929,36.78,8.5,-,UVOT: no detection,-,-
170510A,Fermi,159.91,-39.32,-,-,-,Fermi: GCN 21080,-,-
170428A,750298,330.051,26.913,0.2,2.8,0.76,UVOT: no detection,-,-
170419B,748947,60.494,-15.121,77.2,19.0,1.47,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 05:29 UT on 2017 June 19.",-,-
170419A,748898,79.854,-21.433,8.18,3.1,2.06,UVOT: no detection,-,-
170405A,745797,219.824,-25.236,164.7,37.0,1.59,-,3.51,-
170331A,744791,323.778,-24.406,17.57,9.7,-,UVOT: no detection,-,-
170330A,744773,283.331,-13.458,144.73,56.0,1.38,-,-,-
170325A,Ground Analysis,127.483,20.526,0.3,0.88,1.06,-,-,"BAT: the spacecraft was slewing at that time, there was no onboard triggers"
170318B,743086,284.229,6.335,160.0,5.5,1.84,UVOT: no detection,-,-
170318A,743065,305.662,28.408,133.7,37.0,1.35,UVOT: no detection,-,-
170317A,742866,93.087,50.5,11.94,13.0,-,-,-,-
170311A,741965,280.539,-30.041,6.32,2.5,1.38,-,-,-
170307A,741528,13.51,9.538,56.92,13.0,1.88,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 00:33 UT on 2017 May 24.",-,-
170306A,741220,263.087,-44.765,17.8,8.3,1.98,UVOT: no detection,-,-
170208B,737463,127.145,-9.027,128.07,61.0,-,UVOT: no detection,-,MPG: possible host
170208A,737438,166.544,-46.786,7.45,15.0,1.04,-,-,-
170206B,737125,271.784,11.175,13.36,3.2,1.42,UVOT: no detection,-,-
170205A,736843,262.157,-0.058,26.1,38.0,1.85,-,-,-
170203A,736432,332.861,25.186,45.2,6.2,1.53,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 01:25 UT on 2017 April 10.",-,-
170202A,736407,152.526,5.021,46.2,33.0,1.68,-,3.645,-
170131A,736107|Ground Analysis,341.447,64.006,-,-,-,"XRT: One possible source, but cannot confirm it as the afterglow.|UVOT: no detection",-,-
170127B,735331,19.997,-30.34,0.51,1.0,0.89,UVOT: no detection,-,-
170127A,735326,174.382,-45.827,62.26,5.2,1.1,UVOT: no detection,-,-
170126A,735188,263.623,-64.755,9.5,28.0,1.54,-,-,-
170115A,733103,332.145,13.75,48.0,4.7,1.45,UVOT: no detection,-,-
170113A,732526,61.735,-71.933,20.66,6.7,-,-,1.968,-
170112A,732188,15.232,-17.233,0.06,0.13,1.17,XRT: no detection|UVOT: no detection,-,-
170111A,731887,20.688,-32.541,29.9,8.1,1.64,UVOT: no detection,-,-
170101A,729293,267.089,11.642,2.43,60.0,1.87,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 23:58 UT on 2017 January 19.",-,-
161224A,728268,204.82,-18.028,47.04,8.2,-,"Due to a Moon observing constraint, Swift did not slew to the BAT position until 00:54 UT on 2016 December 25.|UVOT: no detection",-,-
161220A,727610,350.841,-47.48,6.0,1.7,2.01,UVOT: no detection,-,-
161219B,727541,91.717,-26.801,6.94,15.0,-,-,0.1475,-
161218A,727288,245.25,-4.113,7.1,67.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 15:54 UT on 2017 January 08.",-,-
161217A,727167,150.658,52.344,18.2,1.9,2.7,UVOT: no detection,-,-
161214B,726885,3.857,7.342,24.8,21.0,1.76,UVOT: magnitudes include contributions from both the afterglow and the catalogued star SDSS J001524.26+072108.5,-,-
161202A,725036,356.904,19.652,-,86.0,1.55,UVOT: no detection,-,-
161129A,724438,316.221,32.137,35.53,36.0,1.57,-,0.645,R ~ 21.2 (NOT)
161117B,722642,298.83,-67.681,152.51,60.0,-,UVOT: no detection,-,-
161117A,722604,322.053,-29.612,125.7,200.0,-,-,1.549,-
161113A,722063,179.794,-5.316,42.6,15.0,1.73,-,-,-
161108A,721234,180.776,24.905,105.1,11.0,1.85,UVOT: no detection,1.159,NOT
161105A,720697,120.198,-44.763,177.3,61.0,-,UVOT: no detection,-,-
161104A,720568,77.906,-51.447,0.1,0.31,1.57,UVOT: no detection,-,-
161022A,718655,128.988,54.366,7.3,7.5,1.14,UVOT: no detection,-,-
161017A,718023,142.77,43.125,216.3,53.0,1.55,-,2.0127,-
161014A,717500,332.626,7.467,18.3,19.0,1.47,-,2.823,-
161011A,716876,245.687,8.313,4.3,2.3,1.15,Swift burst of interest.|UVOT: no detection,-,-
161007A,716127,103.408,23.289,201.7,13.0,1.46,UVOT: no detection,-,i' (Vega)=22.23 (GTC)
161004B,715246,112.156,-39.896,15.9,88.0,-,UVOT: no detection,-,-
161004A,715084,263.127,-0.947,1.08,0.95,1.26,-,-,-
161001A,714404,71.923,-57.261,2.6,6.7,1.14,-,-,-
160927A,713782,256.268,17.334,0.48,-,1.12,UVOT: no detection,-,-
160917A,712505,295.652,46.4,16.0,13.0,0.89,-,-,-
160912A,711914,301.595,57.585,-,37.0,1.43,-,-,-
160905A,711084,162.249,-50.803,64.0,150.0,1.04,-,-,-
160827A,710050,179.274,-29.178,13.3,4.0,1.95,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 00:09 UT on 2016 November 14.",-,-
160826A,709907,183.12,-67.664,52.6,4.9,1.54,UVOT: no detection,-,-
160824A,709765,80.087,40.039,99.3,26.0,1.64,UVOT: Possible Afterglow Detection,-,-
160821B,709357,280.005,62.387,0.48,1.0,-,UVOT: no detection,-,-
160821A,709351,171.254,42.345,-,72.0,1.52,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 10:53 UT on 2016 September 29.",-,-
160815A,708598,288.616,84.298,8.6,14.0,-,-,-,-
160804A,707231,221.652,10.002,144.2,114.0,-,-,0.736,"possible host: MASTER-SAAO, TNG"
160801A,706871,212.763,13.485,2.85,1.7,1.85,UVOT: no detection,-,-
160726A,706052,98.809,-6.617,0.7,2.6,1.26,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 12:53 UT on 2016 August 10.",-,-
160716A,704572,190.502,-61.364,6.39,1.8,2.29,-,-,-
160714A,704310,234.49,63.809,0.35,0.69,1.38,"Due to an observing constraint, Swift did not slew until T0+26.0 minutes.|XRT: three possible afterglow candidates|UVOT: no detection",-,-
160712A,704155,304.166,-26.965,-,26.0,1.18,"Due to an observing constraint, Swift did not slew until T0+47.3 minutes.|UVOT: no detection",-,-
160709A,Ground Analysis,235.996,-28.188,4.8,4.5,1.11,Burst first detected by Fermi-LAT (GCN 19675)|XRT: no detection,-,-
160705B,703176,168.107,46.707,54.4,7.3,1.79,UVOT: no detection,-,-
160703A,702699,287.414,36.913,44.4,90.0,1.34,-,0.0,-
160630A,702252,198.238,-56.029,29.5,12.0,1.32,UVOT: no detection,-,-
160625A,701503,176.939,-65.142,53.9,33.0,2.08,"Due to an observing constraint, Swift did not slew until T0+20.3 minutes.|UVOT: no detection",-,-
160624A,701288,330.21,29.667,0.2,0.4,0.57,UVOT: no detection,-,-
160612A,Ground Analysis,348.364,-25.375,-,1.16,0.74,Fermi: GCN 19531|XRT: no detection|UVOT: no detection,-,-
160611A,690598,164.417,-70.396,34.1,17.0,1.67,"Due to an observing constraint, Swift did not slew until T0+43.3 minutes.|UVOT: no detection",-,-
160607A,689597,13.661,-4.952,33.4,210.0,-,UVOT: no detection,-,-
160601A,688452,234.923,64.532,0.12,0.66,1.04,UVOT: no detection,-,-
160525B,687522,149.438,51.197,0.29,0.32,1.89,-,-,-
160525A,687492,103.575,-0.199,-,1.9,2.58,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 12:15 UT on 2016 August 19.",-,-
160519A,686818,71.122,31.246,35.57,12.0,1.95,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 11:24 UT on 2016 July 22.",-,-
160506A,685245,265.857,-46.127,254.5,15.0,2.09,-,-,-
160504A,685124,170.073,56.002,53.9,7.3,1.88,UVOT: no detection,-,-
160501A,684679,286.389,-17.249,118.0,9.5,-,UVOT: no detection,-,-
160425A,684098,280.339,-54.343,304.58,21.0,2.2,-,0.555,-
160424A,683906,319.482,-60.408,6.3,12.0,1.4,"Due to an observing constraint, Swift did not slew until T0+48.7 minutes.|XRT: Please see GCN 19339 concerning position uncertainty|UVOT: no detection",-,-
160419A,683383,16.418,-27.341,8.8,35.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 01:44 UT on 2016 April 30.",-,-
160417A,683076,120.26,7.646,15.0,5.9,1.93,-,-,-
160412A,682522,33.074,-67.636,31.6,19.0,1.88,-,-,-
160411A,682339,349.37,-40.258,0.36,0.8,1.43,"Due to an observing constraint, Swift did not slew until T0+50.4 minutes.|UVOT: no detection",-,-
160410A,682269,150.695,3.461,8.2,7.8,0.93,-,1.717,-
160409A,682162|Ground Analysis,289.705,-5.39,-,-,-,UVOT: no detection,-,-
160408A,682059,122.561,71.128,0.32,1.6,0.85,-,-,-
160327A,680655,146.698,54.018,28.0,14.0,1.84,UVOT: no detection,4.99,-
160325A,680436,15.697,-72.702,64.9,71.0,1.27,-,-,-
160321A,680017,99.42,5.753,33.6,5.3,1.89,"BAT: Based on the ground analysis result, this event is very likely a GRB. However, given that it is on the Galactic Plane (lat = -0.43 deg.), we cannot rule out a galactic origin.|UVOT: no detection",-,-
160314A,679120,112.766,17.024,8.73,2.8,1.53,-,0.726,-
160313A,678929,183.821,57.278,42.6,5.8,1.36,UVOT: no detection,-,-
160303A,677495,168.71,22.71,5.0,1.5,1.01,-,0.0,r=25.8 (possible host)
160228A,676595,107.311,26.946,98.36,20.0,1.31,UVOT: no detection,-,-
160227A,676423,195.034,78.672,316.5,31.0,-,-,2.38,-
160225A,675998,164.217,53.659,157.0,16.0,1.55,UVOT: no detection,-,-
160223A,675361,147.603,9.369,127.0,50.0,1.34,"Due to the proximity to the Moon this GRB did not be observable by XRT or UVOT until 22:27UT on Feb 23rd, 2016.| XRT: We cannot determine at the present time whether the source is fading.",-,-
160220B,674734,259.851,-18.123,31.4,70.0,-,"Due to an observing constraint, Swift did not slew until T0+46.5 minutes.|UVOT: no detection",-,-
160220A,674670,236.942,-18.539,8.3,5.2,1.55,"Due to an observing constraint, Swift did not slew until T0+50.1 minutes.|UVOT: no detection",-,-
160216A,673978,311.679,-71.55,11.0,20.0,1.48,UVOT: no detection,-,-
160203A,672525,161.967,-24.772,20.2,12.0,1.93,-,3.52,-
160131A,672236,78.17,-7.037,325.0,204.0,1.24,-,0.97,-
160127A,671828,225.966,0.08,6.16,3.3,-,-,-,-
160123A,671447,150.277,-33.79,3.95,3.5,1.51,-,-,-
160121A,671231,109.08,-23.59,12.0,6.1,1.77,-,1.96,-
160119A,671014,211.916,20.453,116.0,71.0,1.68,UVOT: no detection,-,-
160117B,670800,132.19,-16.34,-,-,-,-,0.87,-
160117A,670793,20.367,-0.677,118.58,31.0,2.14,"Due to a Moon observing constraint, Swift did not slew to the BAT position until 2016 January 18.|UVOT: no detection",-,-
160104A,669319,76.808,11.334,16.2,4.0,1.76,-,-,-
151229A,668689,329.363,-20.732,1.78,5.9,1.84,UVOT: no detection,-,-
151228B,668641,344.431,8.081,48.0,24.0,-,-,-,-
151228A,668543,214.017,-17.665,0.27,0.84,0.85,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger.|XRT: no detection",-,-
151215A,667392,93.622,35.529,17.8,3.1,1.99,-,2.59,-
151210A,666931,65.08,-71.225,94.9,13.0,-,UVOT: no detection,-,-
151205B,666378,41.19,-43.461,1.4,0.77,1.74,"Due to an observing constraint, Swift did not slew until T0+50.6 minutes.|XRT: no detection",-,-
151205A,666352,229.291,35.767,62.8,14.0,1.17,UVOT: no detection,-,-
151127A,665268,19.664,-82.762,0.19,0.23,1.26,-,-,-
151122A,664653|Ground Analysis,299.704,-19.899,-,-,-,XRT: two possible afterglow candidates|UVOT: no detection,-,-
151118A,664078,57.169,65.889,23.4,4.5,1.8,UVOT: no detection,-,-
151114A,663490,120.947,-61.033,4.86,3.7,2.14,-,-,-
151112A,663179,2.05,-61.68,19.32,9.4,1.77,"Due to an observing constraint, Swift did not slew until T0+50.8 minutes.|UVOT: no detection",4.1,-
151111A,663074,56.85,-44.154,76.93,17.0,-,UVOT: no detection,3.5,-
151107A,662757,217.139,-59.68,-,-,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 15:26 UT on 2015 December 12.|BAT: This burst occurred during the period of recovering the thermal control system (Barthelmy et al., GCN Circ. 18562). The CZT bias voltage has been reduced to -150v (instead of the normal -200v) and as such the energy scale is not fully calibrated. Therefore, an accurate spectral analysis is unavailable.",-,-
151031A,662330,83.189,-39.125,5.0,3.2,2.41,-,1.167,-
151029A,662086,38.537,-35.356,8.95,3.9,-,-,1.423,-
151027B,661869,76.188,-6.428,80.0,15.0,1.83,This is Swift's 1000-th detected burst.,4.063,-
151027A,661775,272.498,61.361,129.69,78.0,1.72,-,0.38,-
151023A,661253,271.012,-8.289,10.66,2.6,2.24,-,-,-
151022A,661036,349.223,55.812,116.7,11.0,1.98,UVOT: no detection,-,-
151021A,660671,337.647,-33.189,110.2,280.0,1.57,-,2.33,-
151006A,657750,147.426,70.508,203.9,69.0,1.56,UVOT: no detection,-,-
151004A,657564,213.613,-64.956,128.4,10.0,1.95,"Due to an observing constraint, Swift did not slew until T0+56.9 minutes.|UVOT: no detection",-,-
151001B,657321,336.974,64.637,109.0,14.0,2.12,-,-,-
151001A,657286,233.722,10.984,8.94,6.7,1.17,-,-,-
150925A,656604,227.538,-19.64,121.0,14.0,2.19,UVOT: no detection,-,-
150915A,655721,319.675,-34.874,164.7,8.0,2.51,UVOT: no detection,1.968,-
150911A,655262,67.428,5.731,7.2,21.0,-,UVOT: no detection,-,-
150910A,655097,5.677,33.466,112.2,48.0,1.42,UVOT: Preliminary detections using the UVOT photometric system show a very rapid and steep rise in the luminosity of the afterglow over the first 1 ks of observation.,1.359,-
150907B,654803,255.265,-63.798,62.0,11.0,-,"Due to an observing constraint, Swift will did slew until T0+49.0 minutes.",-,-
150901A,654042,183.609,25.076,64.0,4.5,2.72,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 00:01 UT on 2015 October 28.|BAT: The 1-s peak photon flux is unconstrained due to the weakness of the burst.",-,-
150831B,653978,271.03,-27.243,6.2,14.0,1.87,"Due to an observing constraint, Swift did not slew until T0+49.6 minutes.|UVOT: no detection",-,-
150831A,653838,221.034,-25.619,1.15,3.8,0.81,UVOT: no detection,-,-
150821A,652847,341.913,-57.883,172.1,7.9,2.1,-,0.755,-
150819A,652643,42.34,9.787,52.1,4.8,1.72,UVOT: no detection,-,-
150818A,652603,230.34,68.342,123.3,41.0,1.96,-,0.282,-
150817A,652334,249.635,-12.05,38.8,59.0,1.78,UVOT: no detection,-,-
150811A,651882,291.347,-15.434,34.0,4.9,2.13,-,-,-
150801B,650977,82.961,-5.374,426.0,31.0,1.84,UVOT: no detection,-,-
150728A,650617,292.271,33.906,0.83,0.33,2.02,UVOT: no detection,-,-
150727A,650530,203.968,-18.32,88.0,37.0,1.14,-,0.313,-
150724A,650141,97.549,-19.147,280.0,22.0,2.06,UVOT: no detection,-,
150722A,649916,218.297,-35.196,67.0,6.1,1.79,"Due to an observing constraint, Swift did not slew until T0+50.9 minutes.|UVOT: no detection",-,-
150720A,649706,119.577,-28.281,151.0,5.6,2.61,"XRT: Given the light curve and spectrum behaviour, we believe that this is a real GRB and not a galactic transient.|UVOT: no detection",-,-
150716A,649157,278.481,-12.978,44.0,15.0,1.54,UVOT: no detection,-,-
150711A,648601,221.624,-35.464,64.2,43.0,1.79,-,-,-
150710B,Ground Analysis|20542,83.191,-46.96,15.0,3.5,-,UVOT: no detection,-,-
150710A,648437,194.484,14.309,0.15,0.71,0.63,"Possible burst, but the source location is consistent with 1RXS J125754.7+14185.|UVOT: no detection",-,-
150626B,646786,187.627,66.794,48.0,10.0,1.36,UVOT: no detection,-,-
150626A,646603,111.353,-37.803,144.0,18.0,2.11,UVOT: no detection,-,-
150616A,644259,314.713,-53.403,599.5,190.0,-,UVOT: no detection,-,-
150615A,643833,107.554,-22.466,27.6,5.5,1.84,-,-,-
150607A,642620,140.015,68.436,26.3,23.0,-,-,-,-
150530B,Ground Analysis|20522,7.496,44.29,-,1.25,1.7,XRT: no detection,-,-
150530A,642018,327.511,57.519,6.62,18.0,1.49,UVOT: no detection,-,-
150527A,641698,288.962,4.195,112.0,31.0,1.69,UVOT: no detection,-,-
150513A,640584,49.044,-22.868,162.0,54.0,1.4,"Due to a Sun observing constraint, Swift could not slew to the BAT position until 11:32 UT on 2015 May 28.|XRT: no detection",-,-
150430A,639433,326.481,-27.919,107.1,69.0,1.43,UVOT: no detection,-,-
150428B,639278,292.661,4.114,130.9,37.0,-,UVOT: no detection,-,-
